IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT
49.36.236.46,01/16/2024 9:55,GMT,10.25,10.98,8,Jaipur,0,multi,4
49.36.236.154,12/25/2023 19:39,GMT,8.19,10.98,11,Jaipur,0,multi,4
49.36.236.142,12/07/2023 21:07,GMT,8.42,10.17,14,Jaipur,0,multi,4
49.36.234.93,11/16/2023 20:18,GMT,8.09,11.08,8,Jaipur,0,multi,4
49.36.233.180,08/08/2023 22:08,GMT,5.18,10.86,21,Jaipur,0,multi,4
49.36.233.68,07/29/2023 23:19,GMT,10.43,10.51,3,Jaipur,0,multi,4
49.36.233.44,06/25/2023 21:16,GMT,5.02,8.12,22,Jaipur,0,multi,4
49.36.237.143,06/14/2023 16:13,GMT,10.08,9.13,3,Jaipur,0,multi,4
49.36.234.180,06/06/2023 21:15,GMT,9.85,11.24,17,Jaipur,0,multi,4
49.36.234.180,06/06/2023 20:36,GMT,10.47,11.06,16,Jaipur,0,multi,4
49.36.234.96,06/01/2023 11:39,GMT,8.63,11.42,13,Jaipur,0,multi,4
49.36.234.96,05/21/2023 23:10,GMT,10.27,11.23,14,Jaipur,0,multi,4
49.36.234.48,05/20/2023 21:23,GMT,8.52,11.40,15,Jaipur,0,multi,4
49.36.238.76,05/17/2023 20:43,GMT,9.47,11.41,22,Jaipur,0,multi,4
49.36.238.76,05/17/2023 20:11,GMT,10.20,10.88,14,Jaipur,0,multi,4
157.38.85.166,04/22/2023 14:52,GMT,6.59,12.73,36,Jaipur,0,multi,4